method,eps_decay,tau_decay,batch_size,actions_size,gamma,update_freq,lr,hidden_size,q_values,reward
DQN,100,0,32,32,0,10,0.01,32,"[-0.9781249761581421, -16.560937881469727, 14.7865629196167, -57.19499969482422, 11.516249656677246, 92.77625274658203, 58.40031433105469, 77.3921890258789]","[-10020, -10049, -10073, -10043, -10027, -10045, -10044, 9990]"
DQN,100,0,32,32,0,10,0.01,128,"[11.532500267028809, 55.27812576293945, 2.1421875953674316, -94.73062133789062, -57.236873626708984, 74.02062225341797, -7.21999979019165, 36.52687454223633]","[-10061, -10025, -10032, 10000, 10000, 9989, -10046, -10023]"
DQN,100,0,32,32,0,10,0.01,256,"[-35.35468673706055, -3.9909374713897705, 105.27874755859375, -110.34968566894531, -50.98062515258789, -72.86156463623047, 20.889062881469727, 30.448749542236328]","[-10043, -10032, -10026, 10000, -10043, -10044, -100, -100]"
DQN,100,0,32,32,0,10,0.01,512,"[92.78812408447266, -3.9103124141693115, -10.272187232971191, 2.150937557220459, -91.61031341552734, 77.4140625, -38.48625183105469, 39.64781188964844]","[-10052, -100, -10057, -10066, -10036, -10029, -10090, 10000]"
DQN,100,0,32,32,0,10,0.001,32,"[136.52499389648438, 27.147811889648438, 2.260937452316284, 17.77312469482422, -66.60718536376953, -32.09437561035156, -10.3540620803833, -10.360937118530273]","[-10053, -10028, 9994, -10044, 9929, -100, -10045, 9991]"
DQN,100,0,32,32,0,10,0.001,128,"[99.02874755859375, 95.90343475341797, -32.23125076293945, -35.358436584472656, -10.356562614440918, 17.771249771118164, -25.979999542236328, 58.395938873291016]","[9998, 9999, 9999, -10025, -10023, -10035, 9991, 9947]"
DQN,100,0,32,32,0,10,0.001,256,"[-54.10906219482422, 5.273749828338623, 2.166562557220459, -4.109687328338623, 39.64906311035156, -0.9850000143051147, 8.391562461853027, -0.984375]","[9961, 9991, 9997, -10060, -100, -10055, -100, -10029]"
DQN,100,0,32,32,0,10,0.001,512,"[-72.84780883789062, 2.1465625762939453, 117.77249908447266, -22.854686737060547, 99.02375030517578, -19.71875, 70.89344024658203, 27.149063110351562]","[9986, -10030, -10048, -10041, -10018, -10057, 9998, 9991]"
